ï»¿업체명,주소,전화번호,업종,지역,홈페이지,이메일,플레이스URL,톡톡활성
눈사랑안과의원,울산광역시 중구 남외동 483-11 6층,,안과,울산,,,https://m.place.naver.com/place/37721592,?
삼성굿아이안과의원,경기도 수원시 팔달구 인계동 752-11 건우까사미타워 601~605호,031-548-2824,안과,수원,https://www.ssgoodeye.com,,https://m.place.naver.com/place/1301555420,Y
수원퍼스트안과의원,경기도 수원시 영통구 망포동 41-51 6층,031-1833-2839,안과,수원,http://www.firsteye-suwon.co.kr,,https://m.place.naver.com/place/1399786496,Y
문안과의원,경기도 수원시 팔달구 팔달로3가 29-4,,안과,수원,http://www.lasik4u.co.kr/,,https://m.place.naver.com/place/12034146,Y
수원이안과의원,경기도 수원시 팔달구 팔달로1가 11-8,031-243-1100,안과,수원,https://www.119eye.com,,https://m.place.naver.com/place/11529335,Y
에스안과의원,경기도 수원시 팔달구 인계동 1124 센타빌딩 3층,,안과,수원,https://suwonseye.co.kr/,,https://m.place.naver.com/place/34907402,Y
연세김남수안과의원,경기도 성남시 분당구 수내동 19-4 대덕프라자 4층,,안과,성남,https://blog.naver.com/blue0788,,https://m.place.naver.com/place/11545268,Y
판교연세독수리안과의원,"경기도 성남시 분당구 삼평동 651 5, 6층",031-8017-1234,안과,성남,http://www.eagleeye.co.kr,,https://m.place.naver.com/place/20809632,Y
분당연세플러스안과의원,경기도 성남시 분당구 금곡동 158 미도프라자 5층,1599-5822,안과,성남,http://www.pluseye.co.kr/,,https://m.place.naver.com/place/11536064,Y
분당안과의원,경기도 성남시 분당구 야탑동 367-1 분당BYC빌딩 4층 분당안과,,안과,성남,http://bdeye.co.kr,,https://m.place.naver.com/place/13234562,Y
리지안안과의원,경기도 성남시 분당구 구미동 23-1 분당프라자 3층,1588-4574,안과,성남,http://lijianeye.com,,https://m.place.naver.com/place/11529736,Y
새빛안과병원,경기도 고양시 일산동구 백석동 1334-3,031-900-7700,안과,고양,http://www.saeviteye.com/,,https://m.place.naver.com/place/11524975,Y
고양신세계안과의원,경기도 고양시 덕양구 행신동 999 행신스퀘어 6층,031-8076-9999,안과,고양,http://www.eyessg.com,,https://m.place.naver.com/place/1399781968,Y
비앤씨안과의원,"경기도 고양시 덕양구 화정동 966-3 우리프라자 2층 진료센터(접수), 3층 수술센터",031-812-8080,안과,고양,https://bnceye.com,,https://m.place.naver.com/place/1523493108,Y
예원안과의원,경기도 고양시 일산서구 대화동 2220-1 킨텍스프라자 5층,031-912-2727,안과,고양,http://www.yewoneye.com/,,https://m.place.naver.com/place/13081037,Y
엠에스안과의원 향동점,경기도 고양시 덕양구 향동동 524 센타프라자 3층 (306호~311호),02-6941-0014,안과,고양,https://mseyesclinic.com/,,https://m.place.naver.com/place/1005650050,Y
눈사랑안과의원,"경기도 용인시 수지구 성복동 789 5층, (롯데몰 수지점)",,안과,용인,https://nunsarang.com/,,,N
용인서울안과의원,경기도 용인시 처인구 김량장동 301-3 CGV 3층 용인서울안과,,안과,용인,https://www.용인서울안과.com,,https://m.place.naver.com/place/1228830885,Y
구갈서울안과의원,경기도 용인시 기흥구 구갈동 352 메가타운 302호,031-287-3369,안과,용인,http://www.coollasik.com,,https://m.place.naver.com/place/37929491,Y
서울새봄안과의원,경기도 용인시 처인구 김량장동 143 6층,,안과,용인,http://ssseye.com,,https://m.place.naver.com/place/1949753048,Y
용인밝은안과의원,경기도 용인시 처인구 포곡읍 둔전리 379-3,031-334-7588,안과,용인,https://yibrighteye.creatorlink.net,,https://m.place.naver.com/place/37629317,Y
청주퍼스트안과의원,충청북도 청주시 흥덕구 복대동 288-126 글로스터호텔 2층,,안과,청주,https://firsteyeclinic.co.kr/landing/landing.php,,https://m.place.naver.com/place/1069806789,Y
김안과의원,충청북도 청주시 서원구 사창동 149-11,02-718-4545,안과,청주,https://blog.naver.com/cjdwnrla,,https://m.place.naver.com/place/19528568,Y
삼성안과의원,충청북도 청주시 흥덕구 복대동 3379 지웰시티몰 3층,,안과,청주,http://www.cjlasik.com/,,https://m.place.naver.com/place/11734278,Y
청주누네안과의원,충청북도 청주시 상당구 용암동 3077 S1메디칼타워 401호,,안과,청주,http://cjnoon.com,,https://m.place.naver.com/place/1482254157,Y
서울안과의원,충청북도 청주시 흥덕구 강서동 477 7층,,안과,청주,http://www.seouleyecenter.kr/,,https://m.place.naver.com/place/13232153,Y
푸른안과의원,전북특별자치도 전주시 덕진구 금암동 1588-6 푸른안과,031-975-0906,안과,전주,http://seenew.co.kr/,,https://m.place.naver.com/place/13237862,Y
온누리안과병원,전북특별자치도 전주시 완산구 중화산동2가 570-6,,안과,전주,https://www.eyegreen.com/,,,N
문수정안과의원,전북특별자치도 전주시 완산구 효자동2가 1214-6 3층,063-236-7582,안과,전주,https://msjeyeclinic.com/,,https://m.place.naver.com/place/1058889540,Y
새봄안과의원,"전북특별자치도 전주시 덕진구 송천동1가 107-15 푸른시티 201, 202호",02-909-6674,안과,전주,http://saebomeyeclinic.com,,https://m.place.naver.com/place/1931512142,Y
아름다운김현숙안과의원,전북특별자치도 전주시 완산구 효자동2가 1154-1 5층 아름다운김현숙안과의원,063-225-7717,안과,전주,http://www.eyefdr7.com/,,https://m.place.naver.com/place/1054150901,Y
김교수안과의원,충청남도 천안시 동남구 신부동 468-3 나은필병원 2층,041-417-4040,안과,천안,https://prof.kimeye.kr/,,https://m.place.naver.com/place/1918741763,Y
천안김안과 천안역본점의원,충청남도 천안시 동남구 원성동 266-17,041-551-1082,안과,천안,http://www.cheonankimeye.co.kr/,,https://m.place.naver.com/place/12976031,Y
서울하나안과의원,충청남도 천안시 서북구 성정동 1263 2층~5층,,안과,천안,https://blog.naver.com/hanaeye2021,,,N
삼성미라클안과의원 천안점,충청남도 천안시 서북구 쌍용동 446 2층,041-576-0022,안과,천안,https://ca.samsungmiracle.co.kr/,,https://m.place.naver.com/place/12976276,Y
천안서울안과 신불당점의원,충청남도 천안시 서북구 불당동 1534 율곡스퀘어 6층,041-522-0888,안과,천안,http://www.newlasik.co.kr,,https://m.place.naver.com/place/1556940722,Y
에스안과의원,경기도 안산시 단원구 고잔동 533-3 401호,,안과,안산,https://s-eye.kr/bbs/write.php?bo_table=reservation,,https://m.place.naver.com/place/34907402,Y
안산연세안과의원,경기도 안산시 단원구 고잔동 540-16 신세기빌딩 5층 안산연세안과의원,031-487-9077,안과,안산,https://blog.naver.com/ansaneyesafe,,https://m.place.naver.com/place/21283547,Y
한빛안과의원,경기도 안산시 단원구 고잔동 535-4 보배프라자 5층,031-414-0204,안과,안산,http://www.hanbit-eyedoctor.co.kr/,,https://m.place.naver.com/place/11533306,Y
서울안과의원,경기도 안산시 단원구 고잔동 768 5층서울안과,,안과,안산,https://www.instagram.com/ansan_eye_clinic/,,,N
김명한안과의원,경기도 안산시 상록구 본오동 873-5 서해프라자,031-408-5512,안과,안산,,,https://m.place.naver.com/place/34563148,Y
연세제일안과의원 제주,제주특별자치도 제주시 이도이동 1995-3 2층,064-727-2700,안과,제주,http://www.jeileye.com/,,https://m.place.naver.com/place/1678181276,Y
수안과의원,제주특별자치도 제주시 이도이동 1019-11 3층,02-988-1001,안과,제주,http://www.jejulasik.com/,,https://m.place.naver.com/place/11872339,Y
눈사랑안과의원,제주특별자치도 제주시 노형동 3788 온유빌딩 4층 눈사랑안과의원,031-843-1717,안과,제주,https://eye-love.co.kr/,,https://m.place.naver.com/place/37721592,Y
이지봄안과의원,제주특별자치도 제주시 노형동 3788-15 2층~4층,064-747-0112,안과,제주,https://pf.kakao.com/_ibZxfxj,,https://m.place.naver.com/place/1255336010,Y
제주현대안과의원,제주특별자치도 제주시 도련일동 1937-3 3층,064-702-2075,안과,제주,https://pf.kakao.com/_URFxdn,,https://m.place.naver.com/place/1980469553,Y
이림한의원 서울시청점,서울특별시 중구 을지로1가 32 효덕빌딩 4층 이림한의원,,한의원,서울,https://booking.naver.com/booking/13/bizes/269616,,https://m.place.naver.com/place/1199940884,Y
고불보서울한의원,서울특별시 종로구 종로1가 24 르메이에르종로타운 3층 310호,02-2075-7510,한의원,서울,,,https://m.place.naver.com/place/1171822795,Y
서울한의원,서울특별시 마포구 공덕동 256-13 제일빌딩 206호,,한의원,서울,http://www.seoul7500.co.kr/,,https://m.place.naver.com/place/18890824,Y
서울삼성한의원,서울특별시 중구 태평로2가 113-1 69-18,02-3789-3324,한의원,서울,,,https://m.place.naver.com/place/11638560,Y
서울역한의원,서울특별시 용산구 후암동 244-35 2층,1533-1165,한의원,서울,,,https://m.place.naver.com/place/1108112860,Y
광덕안정한의원 부산남포동점,부산광역시 중구 부평동2가 45-6 2층,051-243-1075,한의원,부산,http://gdaj.net/go/?k=po&slug=bsjunggu&utm_source=NAVER&utm_medium=place,,https://m.place.naver.com/place/1111143695,Y
광덕안정한의원 부산대연점,"부산광역시 남구 대연동 55-7 2, 5, 6층",051-714-2475,한의원,부산,http://gdaj.net/go/?k=po&slug=bsdaeyeon&utm_source=NAVER&utm_medium=place,,https://m.place.naver.com/place/1792189624,Y
사임당한의원,부산광역시 해운대구 우동 1516 센텀타워메디컬 7층 사임당한의원,031-912-2040,한의원,부산,http://busanhanbang.com/,,https://m.place.naver.com/place/13237096,Y
작은거인한의원,부산광역시 동래구 수안동 268-27 2층,051-710-2075,한의원,부산,https://youtube.com/@honey-builder,,https://m.place.naver.com/place/2013441060,Y
자연안에한의원 연산,부산광역시 연제구 연산동 1242-2 동화빌딩 2층,,한의원,부산,http://www.naturemed.co.kr,,https://m.place.naver.com/place/37601185,Y
더바른한의원 대구침산,대구광역시 북구 칠성동2가 90 화인탑팰리스 3층,,한의원,대구,http://www.더바른한의원.kr,,https://m.place.naver.com/place/1418133880,Y
당당한의원 대구수성,대구광역시 수성구 범어동 563-4 범어 애플타워 6층,,한의원,대구,http://yesdang-ss.co.kr/,,https://m.place.naver.com/place/1932128534,Y
한마음정안한의원,대구광역시 달서구 감삼동 702 삼정브리티시상가 306호,053-525-8207,한의원,대구,http://junganclinic.com/,,https://m.place.naver.com/place/33342782,Y
손모아한의원,대구광역시 달서구 진천동 57-6 2층 손모아한의원,,한의원,대구,http://www.sonmoa.kr/,,https://m.place.naver.com/place/37208303,Y
위강한의원 대구,대구광역시 수성구 범어동 42-2 3층,053-753-3030,한의원,대구,https://www.weekang.co.kr/,,https://m.place.naver.com/place/1375656683,Y
바름온한의원 인천,인천광역시 계양구 작전동 865-29 3층,,한의원,인천,https://blog.naver.com/bareumon26,,https://m.place.naver.com/place/1727010261,Y
인천송도 더율한의원,인천광역시 연수구 송도동 3-2 드림시티 4층 403호,,한의원,인천,https://blog.naver.com/hansister82,,https://m.place.naver.com/place/36459284,Y
모두한의원 인천구월,인천광역시 남동구 구월동 1274 남문빌딩 2층,,한의원,인천,https://modoo365clinic.co.kr,,https://m.place.naver.com/place/1762402437,Y
일등한의원 인천가정,인천광역시 서구 가정동 505 2층,032-710-3969,한의원,인천,http://pf.kakao.com/_rNPHb,,https://m.place.naver.com/place/1608876929,Y
장백 한의원,인천광역시 부평구 부평동 199-24 1층,032-502-7502,한의원,인천,https://blog.naver.com/jangbaek777,,https://m.place.naver.com/place/1407419082,Y
모리프한의원 광주상무,"광주광역시 서구 치평동 1180 2층 212, 213호",,한의원,광주,https://morif.co.kr/,,https://m.place.naver.com/place/2050821122,Y
태영명가한의원 광주본원,"광주광역시 광산구 수완동 1080 1층, 7층, 8층",,한의원,광주,https://www.tymga.co.kr/?ad=sw,,https://m.place.naver.com/place/1753645914,Y
태영명가한의원 광주상무,광주광역시 서구 치평동 1176-1 2층 201호,,한의원,광주,https://www.instagram.com/tymg_official,,https://m.place.naver.com/place/1743459764,Y
365수한의원,광주광역시 서구 화정동 808-17 2층,062-371-0375,한의원,광주,https://blog.naver.com/soohani365,,https://m.place.naver.com/place/1105640611,Y
일맥한의원 광주,광주광역시 서구 치평동 1176-1 동양빌딩 502호,,한의원,광주,https://blog.naver.com/ilmaekgj69,,https://m.place.naver.com/place/13022750,Y
바른몸한의원,대전광역시 서구 내동 168-3 1층 바른몸한의원,031-928-6475,한의원,대전,http://bareun-mom.com/,,https://m.place.naver.com/place/1612719972,Y
관저S한의원 대전,대전광역시 서구 관저동 1896 208호,042-533-7500,한의원,대전,http://www.s-car-net.co.kr/f/gwanjeo_s,,https://m.place.naver.com/place/1607754098,Y
대전S한의원,대전광역시 동구 성남동 494-15 8층 807호,042-625-7500,한의원,대전,http://www.s-car-net.co.kr/f/daejeon_s/,,https://m.place.naver.com/place/1874795729,Y
송산한의원,대전광역시 유성구 봉명동 553-4 명동프라자 2층,,한의원,대전,http://pf.kakao.com/_lxbSxas,,https://m.place.naver.com/place/1976958100,Y
조이앤부부한의원,대전광역시 유성구 봉명동 1016-5 봉키병원 빌딩 4층,,한의원,대전,https://blog.naver.com/glassleep,,https://m.place.naver.com/place/1667020230,Y
홍한의원 울산,울산광역시 북구 호계동 257-9 1층,,한의원,울산,https://pf.kakao.com/_FxiLbxj,,https://m.place.naver.com/place/35709624,Y
궁 한의원,울산광역시 남구 달동 1257-7 3층,,한의원,울산,http://www.gungclinic.com,,https://m.place.naver.com/place/19387211,Y
고든몸한의원 울산,울산광역시 남구 옥동 1404-3 2층 고든몸한의원 울산,,한의원,울산,http://www.고든몸한의원.com/kr/?pCode=branch07,,https://m.place.naver.com/place/1902785042,Y
다이즐한의원 울산,울산광역시 남구 삼산동 1474-13 삼산하트랜드 5층,,한의원,울산,https://blog.naver.com/curry3502/224143426685,,https://m.place.naver.com/place/1232358592,Y
매일여는한의원,울산광역시 북구 송정동 1232-5 어썸플레이스 상가 3층,052-700-1075,한의원,울산,https://www.매일여는한의원.com,,https://m.place.naver.com/place/1248317149,Y
청구경희한의원 수원,경기도 수원시 팔달구 인계동 1046-13 에스팝타워 2층,,한의원,수원,https://suwon.bluehillclinic.com,,https://m.place.naver.com/place/1283292950,Y
이희성한의원,경기도 수원시 영통구 영통동 979-2 늘푸른빌딩 4층,,한의원,수원,https://blog.naver.com/zion1165,,https://m.place.naver.com/place/1825648700,Y
수원 하늘토한의원,경기도 수원시 팔달구 인계동 1120 캐슬타워 3층,031-222-7544,한의원,수원,http://skyto.kr/,,https://m.place.naver.com/place/11878798,Y
올치한의원,경기도 수원시 영통구 영통동 996-4 보보스프라자 404호,,한의원,수원,https://blog.naver.com/kimdudtj,,https://m.place.naver.com/place/1304661630,Y
수원역광장한의원,"경기도 수원시 팔달구 매산로1가 53-16 1층, 2층",,한의원,수원,https://suwon8.com/,,https://m.place.naver.com/place/1454891199,Y
곽희준한의원 분당야탑,경기도 성남시 분당구 야탑동 360-1 시그마3오피스텔 3층 310호,,한의원,성남,https://blog.naver.com/gwaki,,https://m.place.naver.com/place/1485726892,Y
으뜸경희한의원 분당수내,경기도 성남시 분당구 수내동 18-1 C&C빌딩 4층,,한의원,성남,https://blog.naver.com/euddeum_kyunghee,,https://m.place.naver.com/place/1713802926,Y
바른라인한의원,"경기도 성남시 분당구 야탑동 361-5 501호, 502호",031-709-2030,한의원,성남,https://goodline.imweb.me,,https://m.place.naver.com/place/1024804269,Y
분당태강한의원,경기도 성남시 분당구 야탑동 358-3 분당아미고타워 4층 404호 분당태강한의원,,한의원,성남,http://www.taegang.com,,https://m.place.naver.com/place/1109413142,Y
청구경희한의원 분당,경기도 성남시 분당구 야탑동 358-3 분당아미고타워 5층 503호,031-622-1275,한의원,성남,https://bundang.bluehillclinic.com,,https://m.place.naver.com/place/35338250,Y
소통부부한의원 고양,경기도 고양시 덕양구 행신동 761-6 4층 403호,,한의원,고양,http://www.sotongbooboo.co.kr/,,https://m.place.naver.com/place/1130509531,Y
더튼튼한의원,경기도 고양시 일산동구 장항동 847 2층,,한의원,고양,https://blog.naver.com/dtt365,,https://m.place.naver.com/place/1979193097,Y
바른시선한의원,경기도 고양시 일산동구 백석동 1242 고양터미널 진료 6층(입원실 3층),,한의원,고양,https://blog.naver.com/barunwell,,https://m.place.naver.com/place/788108420,Y
주엽소나무한의원,경기도 고양시 일산서구 주엽동 71 우리은행빌딩 2층 주엽소나무한의원,,한의원,고양,http://leandiet.co.kr/@sonamu,,https://m.place.naver.com/place/1817179671,Y
일산바로한의원,"경기도 고양시 일산서구 주엽동 105 가동 3층 301호, 302호, 311호~320호",031-912-7588,한의원,고양,http://www.ilsanbaro.com/,,https://m.place.naver.com/place/1421144403,Y
광교프라임한의원 상현,경기도 용인시 수지구 상현동 1131-5 광교 에스타워 2층 광교프라임한의원,,한의원,용인,https://www.gwanggyo-prime-kmd.com/,,https://m.place.naver.com/place/1525346393,Y
수지매듭한의원,경기도 용인시 수지구 동천동 146-1 농협하나로마트 2층,,한의원,용인,https://maeduphani.com,,https://m.place.naver.com/place/2054217480,Y
경희다날한의원,경기도 용인시 기흥구 신갈동 62-1,031-286-1075,한의원,용인,http://khdanal.co.kr,,https://m.place.naver.com/place/1993902021,Y
늘온한의원,경기도 용인시 수지구 풍덕천동 1080-2 3층 303호,,한의원,용인,https://blog.naver.com/gqsf4881,,https://m.place.naver.com/place/1507655925,Y
건한의원,경기도 용인시 기흥구 보정동 1208-3 야후빌딩,031-897-7550,한의원,용인,https://blog.naver.com/gun-clinic,,https://m.place.naver.com/place/37092922,Y
드림나무한의원,충청북도 청주시 흥덕구 복대동 341-15 드림나무한의원,,한의원,청주,http://bakdalhani.com,,https://m.place.naver.com/place/11737098,Y
모아한의원 청주점,충청북도 청주시 흥덕구 가경동 1554 3층,,한의원,청주,http://www.s-car-net.co.kr/f/moa/,,https://m.place.naver.com/place/13247662,Y
척척마디한의원,충청북도 청주시 흥덕구 복대동 288-124 LK트리플렉스 A동 4층 척척마디한의원,,한의원,청주,https://blog.naver.com/ccmadi,,https://m.place.naver.com/place/34954201,Y
봄온담한의원,충청북도 청주시 흥덕구 가경동 1450-3 1층~3층 청주 봄온담한의원,,한의원,청주,http://pf.kakao.com/_aJlxjj,,https://m.place.naver.com/place/12071988,Y
경희은강한의원,충청북도 청주시 상당구 용암동 2014 3층,,한의원,청주,http://www.kheunkang.com/,,https://m.place.naver.com/place/1805020902,Y
정온채한의원,전북특별자치도 전주시 완산구 효자동3가 1689-7 2층,,한의원,전주,https://blog.naver.com/wjddhsco_hani,,https://m.place.naver.com/place/2002001354,Y
이가위한의원,전북특별자치도 전주시 완산구 효자동2가 1246-14 2층,,한의원,전주,,,https://m.place.naver.com/place/31059111,Y
경희대범한의원,전북특별자치도 전주시 완산구 삼천동1가 725-14 2층,,한의원,전주,https://blog.naver.com/hyundong1220,,https://m.place.naver.com/place/1146749266,Y
올봄한의원,전북특별자치도 전주시 덕진구 송천동2가 1325-1 jk빌딩 301호,,한의원,전주,https://thesoo.co/@olbom_kmc,,,N
소라한의원,전북특별자치도 전주시 덕진구 송천동2가 179-40 백두산빌딩 117호,,한의원,전주,https://blog.naver.com/hahahahak,,https://m.place.naver.com/place/38555899,Y
청담한의원,충청남도 천안시 동남구 청수동 201-1 3층 청담한의원,,한의원,천안,https://blog.naver.com/ang6bgs/224118777830,,https://m.place.naver.com/place/21117102,Y
우리집한의원,충청남도 천안시 서북구 두정동 71-4 5층,031-227-7582,한의원,천안,https://leandiet.co.kr/@homelikeclinic,,https://m.place.naver.com/place/2080446464,Y
더 예그린한의원,충청남도 천안시 서북구 불당동 1537-1 정석프라자3차 503호 더 예그린한의원,041-562-1075,한의원,천안,http://www.theyegrin.com,,https://m.place.naver.com/place/19531028,Y
연이재한의원,충청남도 천안시 서북구 불당동 1534 율곡스퀘어 4층,,한의원,천안,http://www.yeonijae.co.kr,,https://m.place.naver.com/place/1732228068,Y
심기쁨한의원,충청남도 천안시 서북구 불당동 1537 3층 301호,,한의원,천안,https://www.instagram.com/sim_delight_clinic,,https://m.place.naver.com/place/1728014051,Y
미올한의원 안산,경기도 안산시 단원구 고잔동 534-3 중앙노블레스빌딩 2층 미올한의원,031-486-1023,한의원,안산,http://miall-as.co.kr/,,https://m.place.naver.com/place/37206767,Y
사랑인한의원 안산,"경기도 안산시 단원구 고잔동 534-3 안산중앙노블레스 307, 319호",,한의원,안산,http://www.sarangin.net,,https://m.place.naver.com/place/234932212,Y
고잔최고한의원 안산,경기도 안산시 단원구 고잔동 768-2 203호,,한의원,안산,https://choigokmc.co.kr/,,https://m.place.naver.com/place/1831333690,Y
하늘체한의원 안산,경기도 안산시 단원구 고잔동 534-1 대유빌딩 6층,,한의원,안산,https://blog.naver.com/skybodyas2,,https://m.place.naver.com/place/37452736,Y
안산중앙한의원,경기도 안산시 단원구 고잔동 539-20 4층,031-8042-4975,한의원,안산,http://www.ansan-central.com/,,https://m.place.naver.com/place/1879178004,Y
으뜸경희한의원 제주,제주특별자치도 제주시 연동 1478 3층,064-742-0066,한의원,제주,https://blog.naver.com/hanione24,,https://m.place.naver.com/place/1042240323,Y
삼다부부한의원,제주특별자치도 제주시 외도일동 644-6 1층,064-805-3454,한의원,제주,https://blog.naver.com/samdahani,,https://m.place.naver.com/place/1433114537,Y
하늘체한의원 제주점,제주특별자치도 제주시 노형동 3783 3층 하늘체한의원,,한의원,제주,http://www.skybody-jeju.co.kr,,https://m.place.naver.com/place/1084229382,Y
제주로운한의원,제주특별자치도 제주시 도련일동 1972-2 2층,,한의원,제주,https://blog.naver.com/jejurounhani,,https://m.place.naver.com/place/1851350580,Y
하늘마음한의원 제주,제주특별자치도 제주시 이도이동 1986-2,064-723-8575,한의원,제주,https://blog.naver.com/skymind8575,,https://m.place.naver.com/place/13455876,Y
만리서울정형외과의원,서울특별시 마포구 아현동 395-1 2층,02-313-7588,정형외과,서울,,,https://m.place.naver.com/place/19530930,Y
대학로서울정형외과의원,서울특별시 종로구 명륜2가 17-5,02-747-7557,정형외과,서울,,,https://m.place.naver.com/place/21913272,Y
서울정형외과의원,서울특별시 용산구 갈월동 101-49 고려에이트리움 4층 401호,02-334-3227,정형외과,서울,http://www.seoulos.net,,https://m.place.naver.com/place/19528675,Y
서울본재활의학과의원 서대문점,서울특별시 종로구 평동 222 NH농협타워 지하1층,02-6248-7575,정형외과,서울,http://www.seoul-bone.co.kr,,https://m.place.naver.com/place/1586224430,Y
서울중앙의료의원,서울특별시 중구 충무로1가 21-1 서울중앙우체국청사 지하3층 서울중앙메디컬센터,02-6450-5500,정형외과,서울,https://www.seoulcmc.com/,,https://m.place.naver.com/place/13044112,Y
서울정형외과의원,서울특별시 용산구 갈월동 101-49 고려에이��리움 4층 401호,02-334-3227,정형외과,서울,http://www.seoulos.net,,https://m.place.naver.com/place/19528675,Y
센텀카이스트재활의학과의원,"부산광역시 남구 대연동 1746-3 갤러리메디타워 5, 6층",,정형외과,부산,http://centumkaist.com/,,https://m.place.naver.com/place/1002463421,Y
풋사랑정형외과의원,"부산광역시 연제구 연산동 1331-2 1101, 1201, 1301호",051-715-7100,정형외과,부산,http://footsarang.kr,,https://m.place.naver.com/place/1127389017,Y
큰힘병원,부산광역시 부산진구 부암동 69-5,,정형외과,부산,https://keunhim.com/,,https://m.place.naver.com/place/1614818398,Y
동래에이스정형외과의원,부산광역시 동래구 수안동 230 2층~3층,,정형외과,부산,https://aceortho.qshop.ai,,https://m.place.naver.com/place/1447813228,Y
부산미남병원,부산광역시 동래구 온천동 1250-10 부산미남병원,051-501-8288,정형외과,부산,https://youtube.com/@부산미남병원,,https://m.place.naver.com/place/1544423928,Y
힘드림마취통증의학과의원,대구광역시 수성구 수성동4가 1000-12 6층 힘드림마취통증의학과,,정형외과,대구,https://himdream.com/,,https://m.place.naver.com/place/2045840691,Y
만촌올바른정형외과의원,대구광역시 수성구 만촌동 1497 301동 501호,053-219-7915,정형외과,대구,https://allbareun.kr/,,https://m.place.naver.com/place/1702121626,Y
봄날정형외과의원 수성,대구광역시 수성구 중동 99-1 2층,,정형외과,대구,http://봄날정형외과.com/,,https://m.place.naver.com/place/1960885813,Y
닥터존정형외과의원 대구,대구광역시 달서구 월성동 1858 3층,053-644-2322,정형외과,대구,https://blog.naver.com/man29185,,https://m.place.naver.com/place/1649313073,Y
범어퍼스트정형외과의원,"대구광역시 수성구 범어동 197-6 2층, 3층",053-756-1110,정형외과,대구,https://blog.naver.com/frppkhklly/223672335596,,https://m.place.naver.com/place/1036680593,Y
연세리더스정형외과의원,"인천광역시 부평구 부평동 529-82 301호, 401호",032-523-1175,정형외과,인천,http://연세리더스.com,,https://m.place.naver.com/place/2081942945,Y
송도 탑 정형외과의원,인천광역시 연수구 송도동 190-4 GS슈퍼마켓 2층,,정형외과,인천,https://blog.naver.com/songdo-top,,https://m.place.naver.com/place/1927029254,Y
검단연세정형외과의원,인천광역시 서구 불로동 1006-14 푸리마더타워 605~613호,032-561-3200,정형외과,인천,https://www.geomdanyonsei.com/,,https://m.place.naver.com/place/1942655634,Y
바른나무신경외과의원,인천광역시 연수구 송도동 21-14 송도 하이츠 401-404호,032-859-7300,정형외과,인천,http://www.bareuntree.com,,https://m.place.naver.com/place/36029098,Y
신기탑365정형외과의원,"인천광역시 미추홀구 주안동 1270-3 2층, 3층 신기탑365정형외과의원",032-721-9887,정형외과,인천,http://singitop365.com,,https://m.place.naver.com/place/1539662500,Y
여한결재활의학과의원,광주광역시 광산구 장덕동 1630 2층 여한결재활의학과의원,,정형외과,광주,http://alwaysrehab.co.kr,,https://m.place.naver.com/place/1803805150,Y
마디튼튼마취통증의학과재활의학과의원,"광주광역시 동구 산수동 398-23 본관동 4층, 5층",,정형외과,광주,http://maditntn.kr/,,https://m.place.naver.com/place/1921778138,Y
일등정형외과의원,광주광역시 광산구 쌍암동 670-4 CM타워 3층,,정형외과,광주,https://blog.naver.com/osnumber1,,https://m.place.naver.com/place/1046152330,Y
광주센트럴병원,광주광역시 광산구 신가동 1159,,정형외과,광주,http://www.gwangjucentralhospital.co.kr,,https://m.place.naver.com/place/37160375,Y
서울성모마취통증의학과의원,광주광역시 남구 주월동 1286-1 2층,,정형외과,광주,https://seoulstmaryspain.medisay.co.kr/,,https://m.place.naver.com/place/1688582027,Y
에스앤케이병원,"대전광역시 서구 둔산동 963 대영프라자 3, 4, 5층",,정형외과,대전,http://www.snkhospital.com/,,https://m.place.naver.com/place/16234024,?
든든정형외과의원,"대전광역시 유성구 원내동 802 1층, 2층, 3층 든든정형외과의원",032-667-0677,정형외과,대전,https://dndnhospital.com,,https://m.place.naver.com/place/38673976,Y
에이스정형외과의원,대전광역시 유성구 용산동 740 3층,031-707-0609,정형외과,대전,http://www.aceos.co.kr/,,https://m.place.naver.com/place/1008846049,Y
괴정바른본의원,대전광역시 서구 괴정동 91-22 1층,042-525-8288,정형외과,대전,http://www.bareunbon.com,,https://m.place.naver.com/place/1405820382,Y
대전튼튼의원,대전광역시 동구 가오동 649,042-721-7582,정형외과,대전,http://www.chuck-chuck.co.kr,,https://m.place.naver.com/place/1315944356,Y
서울삼성정형외과의원 울산삼산동,울산광역시 남구 삼산동 1525-8 5층,,정형외과,울산,http://www.seoulsamsungos.com/,,https://m.place.naver.com/place/1319728507,Y
서일하나로신경외과의원,울산광역시 남구 야음동 789-14 울산타임스퀘어 5층 501~3호,,정형외과,울산,https://blog.naver.com/seoil-hanarons,,https://m.place.naver.com/place/1507186773,Y
울산비에스신경외과의원,울산광역시 북구 매곡동 629-1 3층 301호,,정형외과,울산,http://usbsns.com,,https://m.place.naver.com/place/1702229260,Y
황기호정형외과의원,울산광역시 동구 전하동 639-9 1층,,정형외과,울산,https://blog.naver.com/justbeme/223692053864,,https://m.place.naver.com/place/19517867,Y
울산시티병원,울산광역시 북구 연암동 1261-6,052-280-9000,정형외과,울산,http://www.cityhospital.co.kr/,,https://m.place.naver.com/place/12776890,Y
