업체명,업종,주소,전화번호,톡톡URL,톡톡ID,플레이스URL
법무법인 빛 김포분사무소,법률사무소,경기도 김포시 운양동 1342-5 1동 3층,,http://talk.naver.com/wou8vmb?frm=mnmb&frm=nmb_detail#nafullscreen,wou8vmb,https://m.place.naver.com/place/2049783157
변호사김남두 법률사무소,법률사무소,경기도 김포시 사우동 224-4 2F,,http://talk.naver.com/wca18o?frm=mnmb&frm=nmb_detail#nafullscreen,wca18o,https://m.place.naver.com/place/20264216
법무법인 그날 대구본사 이혼전문변호사,법률사무소,대구광역시 달서구 용산동 230-21 법조빌딩 205호,0535239797 / 0535239797 / 0537549797 / 0544419798 / 0537549798,http://talk.naver.com/wc6dv4?frm=mnmb&frm=nmb_detail#nafullscreen,wc6dv4,https://m.place.naver.com/place/38576161
법무법인 그날 서부회생파산센터,법률사무소,대구광역시 달서구 용산동 230-21 201호,,http://talk.naver.com/wma6voe?frm=pnmb&frm=nmb_detail#nafullscreen,wma6voe,https://m.place.naver.com/place/2023310568
녹턴피아노학원연습실,피아노학원,대전광역시 유성구 반석동 621-5 2층,,http://talk.naver.com/w434ca?frm=pnmb&frm=nmb_detail#nafullscreen,w434ca,https://m.place.naver.com/place/1064404143
브로우디 눈썹&amp;두피,속눈썹,제주특별자치도 제주시 이도이동 1175-5,,http://talk.naver.com/wgkrebp?frm=mnmb&frm=nmb_detail#nafullscreen,wgkrebp,https://m.place.naver.com/place/2051117145
티스테이션 올마이티 홈플러스송도점,자동차검사,인천광역시 연수구 송도동 168-3 홈플러스송도점 지하2층,031-5178-9046,http://talk.naver.com/w4qbe3?frm=mnmb&frm=nmb_detail#nafullscreen,w4qbe3,https://m.place.naver.com/place/37204805
처음처럼치과의원,치과,서울특별시 성북구 동소문동5가 75 5층 504호,02.942.2875,http://talk.naver.com/wc0reo?frm=mnmb&frm=nmb_detail#nafullscreen,wc0reo,https://m.place.naver.com/place/19530734
더서울치과의원,치과,서울특별시 성북구 동선동4가 53,02-928-2228,http://talk.naver.com/wc4w59?frm=mnmb&frm=nmb_detail#nafullscreen,wc4w59,https://m.place.naver.com/place/37564839
조아패밀리 은평점,웨딩촬영,서울특별시 은평구 진관동 219-8 4F,,http://talk.naver.com/w4178p?frm=mnmb&frm=nmb_detail#nafullscreen,w4178p,https://m.place.naver.com/place/1252530007
해운대 플러스동물병원,동물병원,부산광역시 해운대구 좌동 1315 삼정코아상가 1층,0519158275 / 0519158275,http://talk.naver.com/w5tyij?frm=mnmb&frm=nmb_detail#nafullscreen,w5tyij,https://m.place.naver.com/place/37928441
유앤아이의원 명동점,피부과,서울특별시 중구 명동1가 59-5 타임워크명동빌딩 3층,0269566021 / 0269566021,http://talk.naver.com/wdmtvoa?frm=mnmb&frm=nmb_detail#nafullscreen,wdmtvoa,https://m.place.naver.com/place/1528320866
명동 리더스피부과의원,피부과,서울특별시 중구 회현동1가 206 SK리더스뷰남산 B1층 명동리더스피부과의원,02-3443-7541,http://talk.naver.com/wc4d4x?frm=mnmb&frm=nmb_detail#nafullscreen,wc4d4x,https://m.place.naver.com/place/12956955
분양대행TS,분양대행,경기도 파주시 아동동 283 팜스프링아파트 122,,http://talk.naver.com/w4bt8k?frm=mnmb&frm=nmb_detail#nafullscreen,w4bt8k,https://m.place.naver.com/place/1055527661
M타워부동산공인중개사사무소,분양사무소,서울특별시 성동구 성수동1가 656-334 104호 엠타워부동산,,http://talk.naver.com/wc1nkv?frm=mnmb&frm=nmb_detail#nafullscreen,wc1nkv,https://m.place.naver.com/place/1513818914
일레르,웨딩플래너,서울특별시 노원구 월계동 880,,http://talk.naver.com/w43v76?frm=mnmb&frm=nmb_detail#nafullscreen,w43v76,https://m.place.naver.com/place/1789939326
하이파이브 하이록스 트레이닝 센터,크로스핏,대전광역시 유성구 자운동 575 3층,,http://talk.naver.com/wk1oixw?frm=mnmb&frm=nmb_detail#nafullscreen,wk1oixw,https://m.place.naver.com/place/2054063927
홈데코 커튼블라인드,인테리어,서울특별시 구로구 오류동 160 리더원빌딩 1층 104호,01094971248 / 01094971248 / 01094971248 / 01094971248 / 02-580-0533 / 02-3480-3600 / 02-392-0330,http://talk.naver.com/w43lvk?frm=mnmb&frm=nmb_detail#nafullscreen,w43lvk,https://m.place.naver.com/place/1079978294
장수돌침대 장수돌소파 구로점,인테리어,서울특별시 구로구 고척동 73-3 2001구로아울렛 2동 3층,,http://talk.naver.com/w4qgh2?frm=mnmb&frm=nmb_detail#nafullscreen,w4qgh2,https://m.place.naver.com/place/1125015430
커튼블라인드,인테리어,서울특별시 구로구 신도림동 437-1,,http://talk.naver.com/w5z4pn?frm=mnmb&frm=nmb_detail#nafullscreen,w5z4pn,https://m.place.naver.com/place/1285411102
고수이사,이삿짐센터,경기도 의정부시 용현동 221-3 201동 1001호,,http://talk.naver.com/wdus02j?frm=mnmb&frm=nmb_detail#nafullscreen,wdus02j,https://m.place.naver.com/place/2051924243
한일익스프레스,이삿짐센터,경기도 의정부시 용현동 270-34 한일익스프레스,,http://talk.naver.com/w5tww0?frm=mnmb&frm=nmb_detail#nafullscreen,w5tww0,https://m.place.naver.com/place/1145938357
의정부이사 대림익스프레스,이삿짐센터,경기도 의정부시 용현동 39-54,,http://talk.naver.com/wc38qo?frm=mnmb&frm=nmb_detail#nafullscreen,wc38qo,https://m.place.naver.com/place/11869225
러블리 수유 속눈썹 &amp; 속눈썹펌,속눈썹,서울특별시 강북구 번동 446-13 가든타워 B124호,,http://talk.naver.com/w41kbj?frm=mnmb&frm=nmb_detail#nafullscreen,w41kbj,https://m.place.naver.com/place/1008518570
보라보라브로우 수유점,속눈썹,서울특별시 강북구 미아동 215-10 지하1층 (핑크대문) ' 보라보라 ',,http://talk.naver.com/w4mn8s?frm=mnmb&frm=nmb_detail#nafullscreen,w4mn8s,https://m.place.naver.com/place/1217652522
뮤토엘성형외과의원,성형외과,서울특별시 용산구 한강로3가 40-708 지하1층 3호,02.2138.2805 / 02-2138-2804 / 02.567.3456,http://talk.naver.com/w602tvy?frm=mnmb&frm=nmb_detail#nafullscreen,w602tvy,https://m.place.naver.com/place/2000919914
다나의원,성형외과,서울특별시 용산구 한남동 261-6 서울빌딩 401호,027495004 / 027495004 / 02-749-5090,http://talk.naver.com/wdhda6j?frm=mnmb&frm=nmb_detail#nafullscreen,wdhda6j,https://m.place.naver.com/place/19526646
목수와디자인가구 평택가구단지,상가인테리어,경기도 평택시 고덕면 당현리 22-36 목수와디자인가구,,http://talk.naver.com/wc4kce?frm=mnmb&frm=nmb_detail#nafullscreen,wc4kce,https://m.place.naver.com/place/1083901303
가구탑 본점,상가인테리어,경기도 평택시 지산동 739-2 가구탑,%7B0316662434%20%7D / 07086704449 / 031-666-2434 / 031-761-6692 / 031-337-3038,http://talk.naver.com/w4jqrh?frm=mnmb&frm=nmb_detail#nafullscreen,w4jqrh,https://m.place.naver.com/place/629022322
피스트엑스 구로디지털단지,크로스핏,서울특별시 구로구 구로동 188-25 지벨리비즈프라자 지하1층 106호,,http://talk.naver.com/wny30zh?frm=mnmb&frm=nmb_detail#nafullscreen,wny30zh,https://m.place.naver.com/place/1769206049
첨단오션공인중개사사무소,분양사무소,광주광역시 광산구 월계동 893-9 113호,,http://talk.naver.com/wkz17g1?frm=mnmb&frm=nmb_detail#nafullscreen,wkz17g1,https://m.place.naver.com/place/1712363053
하늘체한의원 제주점,한의원,제주특별자치도 제주시 노형동 3783 3층 하늘체한의원,,http://talk.naver.com/wceq5k?frm=mnmb&frm=nmb_detail#nafullscreen,wceq5k,https://m.place.naver.com/place/1084229382
카네기영어창의코딩학원,코딩학원,서울특별시 서초구 반포동 57-3 5층,02-3482-3888,http://talk.naver.com/w4syk9?frm=mnmb&frm=nmb_detail#nafullscreen,w4syk9,https://m.place.naver.com/place/1037246965
라꾸 강남본점,왁싱,서울특별시 강남구 역삼동 825-20 지하2층 220호,02-508-3433,http://talk.naver.com/w4gxqb?frm=mnmb&frm=nmb_detail#nafullscreen,w4gxqb,https://m.place.naver.com/place/1332109818
퍼블릭왁싱 강남점,왁싱,서울특별시 강남구 역삼동 619-14 5층,,http://talk.naver.com/wcshnj?frm=mnmb&frm=nmb_detail#nafullscreen,wcshnj,https://m.place.naver.com/place/33696175
퍼블릭왁싱 선릉점,왁싱,서울특별시 강남구 대치동 896,,http://talk.naver.com/wc02j9?frm=mnmb&frm=nmb_detail#nafullscreen,wc02j9,https://m.place.naver.com/place/60232811
경희대 아이스타 태권도,태권도,인천광역시 서구 원당동 825-5 LG프라자 5층,,http://talk.naver.com/w4k7de?frm=mnmb&frm=nmb_detail#nafullscreen,w4k7de,https://m.place.naver.com/place/38338451
넘버원타이어,타이어,대전광역시 동구 구도동 378 넘버원타이어,01064865588,http://talk.naver.com/wpee31d?frm=mnmb&frm=nmb_detail#nafullscreen,wpee31d,https://m.place.naver.com/place/36661392
티스테이션 올마이티 대전서구점,타이어,대전광역시 서구 둔산동 1245 티스테이션 대전서구점,031-5178-9046,http://talk.naver.com/w4qbe6?frm=mnmb&frm=nmb_detail#nafullscreen,w4qbe6,https://m.place.naver.com/place/1229695554
드래곤타이어 대전점,타이어,대전광역시 서구 도안동 1480,,http://talk.naver.com/w4pk5i?frm=mnmb&frm=nmb_detail#nafullscreen,w4pk5i,https://m.place.naver.com/place/37169981
독학재수 수만휘 스파르타 부산대신점,입시학원,부산광역시 서구 서대신동3가 389-9 8층 801호,0519871022 / 0519871022,http://talk.naver.com/whsy7jj?frm=mnmb&frm=nmb_detail#nafullscreen,whsy7jj,https://m.place.naver.com/place/2098016081
애플산부인과의원 검단점,산부인과,인천광역시 서구 원당동 1041-3 1동 608~611호 [ABM타워],0322668275 / 0322668275,http://talk.naver.com/w5t4tia?frm=mnmb&frm=nmb_detail#nafullscreen,w5t4tia,https://m.place.naver.com/place/2011954204
백두인력,인력사무소,경기도 부천시 오정구 원종동 376-7 3층,0327219945 / 0327219945 / 070-7543-9345,http://talk.naver.com/wt6so6u?frm=mnmb&frm=nmb_detail#nafullscreen,wt6so6u,https://m.place.naver.com/place/2060944181
서정적인호텔 청주,호텔,충청북도 청주시 흥덕구 가경동 1402,05255255255,http://talk.naver.com/w5z0bc?frm=pnmb&frm=nmb_detail#nafullscreen,w5z0bc,https://m.place.naver.com/place/1521280112
스타 법무법인 부산분사무소,변호사사무소,부산광역시 부산진구 부전동 130-1 에플에셋빌딩 4층,021594300 / 02-565-0626 / 051-802-0626 / 053-218-0626 / 042-488-0626,http://talk.naver.com/w49bk6?frm=mnmb&frm=nmb_detail#nafullscreen,w49bk6,https://m.place.naver.com/place/1753050332
플라워진,꽃집,서울특별시 용산구 이태원동 666 1층 플라워진,,http://talk.naver.com/wcfn0q?frm=mnmb&frm=nmb_detail#nafullscreen,wcfn0q,https://m.place.naver.com/place/30944144
입주청소,청소업체,경기도 성남시 분당구 야탑동 382-3 3층,,http://talk.naver.com/w4150l?frm=mnmb&frm=nmb_detail#nafullscreen,w4150l,https://m.place.naver.com/place/1124162361
입주청소,청소업체,경기도 성남시 분당구 운중동 945 8층 804-S13호,,http://talk.naver.com/w4150l?frm=mnmb&frm=nmb_detail#nafullscreen,w4150l,https://m.place.naver.com/place/1124162361
특수청소,청소업체,경기도 성남시 분당구 야탑동 149-4 402-S14호,02-3480-3573,http://talk.naver.com/wwe2hbc?frm=mnmb&frm=nmb_detail#nafullscreen,wwe2hbc,https://m.place.naver.com/place/2069856894
정리습관,청소업체,경기도 성남시 분당구 정자동 25-1 20층 6호,,http://talk.naver.com/w5y1ck?frm=mnmb&frm=nmb_detail#nafullscreen,w5y1ck,https://m.place.naver.com/place/1351310919
에스앤유서울비뇨의학과의원 부산점,비뇨기과,부산광역시 부산진구 부전동 490-2 2층  3층,05082002198 / 051-714-1725,http://talk.naver.com/wc6mwe?frm=mnmb&frm=nmb_detail#nafullscreen,wc6mwe,https://m.place.naver.com/place/1984482117
스마일비뇨의학과의원,비뇨기과,부산광역시 부산진구 부전동 485-13 3층,0518082220 / 0518082220,http://talk.naver.com/wtf2zo4?frm=mnmb&frm=nmb_detail#nafullscreen,wtf2zo4,https://m.place.naver.com/place/1670594657
입주청소,입주청소,대전광역시 유성구 봉명동 551-7 2층 203-D629호,,http://talk.naver.com/wd7stvg?frm=mnmb&frm=nmb_detail#nafullscreen,wd7stvg,https://m.place.naver.com/place/2023616696
입주청소,입주청소,대전광역시 대덕구 송촌동 476-1 1동 2층 203-F11호,,http://talk.naver.com/w146gt9?frm=mnmb&frm=nmb_detail#nafullscreen,w146gt9,https://m.place.naver.com/place/2058346210
입주청소,입주청소,대전광역시 유성구 봉명동 551-7 2층 203-S18호,,http://talk.naver.com/wd7stvg?frm=mnmb&frm=nmb_detail#nafullscreen,wd7stvg,https://m.place.naver.com/place/2023616696
파이어짐 천호역점,PT,서울특별시 강동구 천호동 425-5 B1층 5호 6호 10호,050713329056 / 050713329056,http://talk.naver.com/w4ho9s?frm=mnmb&frm=nmb_detail#nafullscreen,w4ho9s,https://m.place.naver.com/place/1675569551
공유오피스 114 비상주사무실 김포점 소호사무실,부동산,경기도 김포시 양촌읍 양곡리 1306-1,02-6734-2996 / 032-710-0720 / 031-365-3549,http://talk.naver.com/w40wkb?frm=mnmb&frm=nmb_detail#nafullscreen,w40wkb,https://m.place.naver.com/place/1704819879
달빛부동산공인중개사사무소,오피스텔분양,인천광역시 연수구 송도동 29-1 한라웨스턴파크 114호,,http://talk.naver.com/wt2v4q7?frm=mnmb&frm=nmb_detail#nafullscreen,wt2v4q7,https://m.place.naver.com/place/1624335394
인재중심 청계관 수학학원,수학학원,경기도 화성시 동탄구 청계동 531-3 102호  404호  405호,,http://talk.naver.com/wbfq0h9?frm=mnmb&frm=nmb_detail#nafullscreen,wbfq0h9,https://m.place.naver.com/place/1150994543
WT메소드 청주점,두피관리,충청북도 청주시 흥덕구 복대동 288-123 센트럴타워 2층,02-521-1580,http://talk.naver.com/w4fgp0?frm=mnmb&frm=nmb_detail#nafullscreen,w4fgp0,https://m.place.naver.com/place/1481455074
말랑,애견미용,경기도 안양시 동안구 평촌동 87-10 k비즈리움 3층 315호,,http://talk.naver.com/w487e6?frm=mnmb&frm=nmb_detail#nafullscreen,w487e6,https://m.place.naver.com/place/1937935306
바운드짐 낙성대역점,요가,서울특별시 관악구 봉천동 1661-4 지하1층 제비101호,,http://talk.naver.com/w138y1n?frm=mnmb&frm=nmb_detail#nafullscreen,w138y1n,https://m.place.naver.com/place/1451067586
태송세무회계사무소,회계사무소,경기도 남양주시 다산동 608-3 2층,031-553-1266,http://talk.naver.com/w4oyfpz?frm=mnmb&frm=nmb_detail#nafullscreen,w4oyfpz,https://m.place.naver.com/place/38344916
다솜홈서비스 부산본사,정리수납,부산광역시 부산진구 범천동 869-30 대동빌딩 2층 다솜홈서비스,0518913450 / 0325153450 / 0522693451 / 0312113451 / 0552643451 / 0424873450 / 0444176450 / 055-362-3450 / 051-746-3450 / 02-556-3450 / 031-707-3453 / 051-980-7476,http://talk.naver.com/wa844ww?frm=mnmb&frm=nmb_detail#nafullscreen,wa844ww,https://m.place.naver.com/place/37430740
곽미자 법무사 사무소,법무사,서울특별시 영등포구 당산동3가 270 208호(우미빌딩),,http://talk.naver.com/w5v66p?frm=mnmb&frm=nmb_detail#nafullscreen,w5v66p,https://m.place.naver.com/place/1657713085
수앤수공인중개사사무소,상가분양,제주특별자치도 제주시 아라일동 6113-19 1층,,http://talk.naver.com/wl0t8pz?frm=mnmb&frm=nmb_detail#nafullscreen,wl0t8pz,https://m.place.naver.com/place/1631556310
판교퍼스트정형외과의원,정형외과,경기도 성남시 분당구 삼평동 670 유스페이스1 B동 3층,0317051111 / 0317051111,http://talk.naver.com/ww0mku3?frm=mnmb&frm=nmb_detail#nafullscreen,ww0mku3,https://m.place.naver.com/place/1141842512
분당더바른마취통증의학과의원,정형외과,경기도 성남시 분당구 서현동 268-1 2층,0317040222 / 03170402222 / 0317040222 / 031-703-0221,http://talk.naver.com/wnofzpw?frm=mnmb&frm=nmb_detail#nafullscreen,wnofzpw,https://m.place.naver.com/place/1168901455
강남스마일안과의원,안과,서울특별시 서초구 서초동 1318-2 통영빌딩 4층  6층,02-553-0210 / 02.595.0210,http://talk.naver.com/w4ifqx?frm=mnmb&frm=nmb_detail#nafullscreen,w4ifqx,https://m.place.naver.com/place/1626251401
온누리스마일안과의원 강남,안과,서울특별시 서초구 서초동 1317-20,,http://talk.naver.com/wtzi9my?frm=mnmb&frm=nmb_detail#nafullscreen,wtzi9my,https://m.place.naver.com/place/35418120
포마더스 서울,에스테틱,서울특별시 금천구 가산동 371-16 19층 1901호,031-8039-6388,http://talk.naver.com/w5wd5y?frm=mnmb&frm=nmb_detail#nafullscreen,w5wd5y,https://m.place.naver.com/place/1550571222
숲테라피 가산점,에스테틱,서울특별시 금천구 가산동 371-28 우림라이온스밸리 A동 지하122호,,http://talk.naver.com/w4jrj8?frm=mnmb&frm=nmb_detail#nafullscreen,w4jrj8,https://m.place.naver.com/place/1150989089
수피아 플라워,꽃집,서울특별시 중랑구 상봉동 91-4 유보라 퍼스트리브&포스퀘어 1층 101호,050713537082 / 050713537082 / 0369627240,http://talk.naver.com/w4o9bb?frm=mnmb&frm=nmb_detail#nafullscreen,w4o9bb,https://m.place.naver.com/place/1435360705
푸드박스 성동광진점,도시락,서울특별시 광진구 중곡동 150-101 . 1층,01091630770 / 01047321074 / 01033320377 / 01032070031 / 01064428874 / 01099465295 / 01054160032 / 01035885600 / 01039625400,http://talk.naver.com/wy9t5rt?frm=mnmb&frm=nmb_detail#nafullscreen,wy9t5rt,https://m.place.naver.com/place/1491778477
극동스포랜드,수영장,경기도 안산시 단원구 초지동 740-2 극동스포랜드,,http://talk.naver.com/w40io8?frm=mnmb&frm=nmb_detail#nafullscreen,w40io8,https://m.place.naver.com/place/13333914
더베스트로,인력사무소,인천광역시 연수구 송도동 30-3 송도 센트로드 A동 2809호,,http://talk.naver.com/wfnjrny?frm=mnmb&frm=nmb_detail#nafullscreen,wfnjrny,https://m.place.naver.com/place/1374241990
인터파크홈스토리 인천중앙지사,인력사무소,인천광역시 연수구 송도동 174-1,,http://talk.naver.com/wchxzq?frm=mnmb&frm=nmb_detail#nafullscreen,wchxzq,https://m.place.naver.com/place/19927806
아문성형외과의원,성형외과,서울특별시 강동구 천호동 51-7 202호,,http://talk.naver.com/w4v03b?frm=mnmb&frm=nmb_detail#nafullscreen,w4v03b,https://m.place.naver.com/place/1326446615
연세미도성형외과의원,성형외과,서울특별시 강동구 성내동 43-11 6층 연세미도성형외과의원,024731777 / 02-473-1778,http://talk.naver.com/w4m2dl?frm=mnmb&frm=nmb_detail#nafullscreen,w4m2dl,https://m.place.naver.com/place/1620503363
일자리천하 인천남동점,인력사무소,인천광역시 남동구 간석동 173-29 3층,,http://talk.naver.com/w5i865?frm=mnmb&frm=nmb_detail#nafullscreen,w5i865,https://m.place.naver.com/place/1233151958
전주에어컨청소 세탁기청소 우렁총각,에어컨청소,전북특별자치도 전주시 완산구 효자동1가 451 삼성효자타운 102동,,http://talk.naver.com/w4xrrh?frm=mnmb&frm=nmb_detail#nafullscreen,w4xrrh,https://m.place.naver.com/place/1611711604
더홈디자인,주방리모델링,서울특별시 강북구 미아동 1369,,http://talk.naver.com/w5zstq?frm=mnmb&frm=nmb_detail#nafullscreen,w5zstq,https://m.place.naver.com/place/1248882197
가구톡세상 행복한백화점 목동점,인테리어업체,서울특별시 양천구 목동 917-6 한국중소벤처기업유통원 행복한백화점 4층 가구톡세상,,http://talk.naver.com/wnse7jb?frm=mnmb&frm=nmb_detail#nafullscreen,wnse7jb,https://m.place.naver.com/place/2005035678
심바동물병원,동물병원,서울특별시 서초구 방배동 951-3 1층 심바동물병원,,http://talk.naver.com/w5ikc2?frm=mnmb&frm=nmb_detail#nafullscreen,w5ikc2,https://m.place.naver.com/place/1181597584
블라썸테이블,케이터링,부산광역시 금정구 남산동 981-17 1층,,http://talk.naver.com/w4dafq?frm=mnmb&frm=nmb_detail#nafullscreen,w4dafq,https://m.place.naver.com/place/1356799132
고촌연탄집,도시락,경기도 김포시 고촌읍 신곡리 1119 1층,,http://talk.naver.com/w43lwj?frm=mnmb&frm=nmb_detail#nafullscreen,w43lwj,https://m.place.naver.com/place/1827689838
컬러풀테이블,도시락,경기도 김포시 풍무동 598-4 . 가동 108호(  센트럴메디프라자),,http://talk.naver.com/w4cr8z?frm=mnmb&frm=nmb_detail#nafullscreen,w4cr8z,https://m.place.naver.com/place/1787064285
최고의봄날학원,수학학원,인천광역시 연수구 송도동 2-6 송도프라자 3층,,http://talk.naver.com/w46lcl?frm=mnmb&frm=nmb_detail#nafullscreen,w46lcl,https://m.place.naver.com/place/1146669338
윌비모터스,자동차도장,서울특별시 성동구 성수동2가 280-4 2층,,http://talk.naver.com/wlevqso?frm=mnmb&frm=nmb_detail#nafullscreen,wlevqso,https://m.place.naver.com/place/1247080842
타이어뱅크 서울장안점,자동차검사,서울특별시 성동구 용답동 225-1 1층,02-2243-1056,http://talk.naver.com/w5uxkx?frm=mnmb&frm=nmb_detail#nafullscreen,w5uxkx,https://m.place.naver.com/place/17935537
법무법인 빛 노원주사무소,법률사무소,서울특별시 노원구 상계동 763-4 대원빌딩 6층  7층 법무법인 빛,,http://talk.naver.com/w5iqf7?frm=mnmb&frm=nmb_detail#nafullscreen,w5iqf7,https://m.place.naver.com/place/420294628
힐스유성공인중개사사무소,오피스텔분양,대전광역시 유성구 봉명동 541-9 힐스테이트유성 상가 1층 109호,,http://talk.naver.com/w85ev1c?frm=mnmb&frm=nmb_detail#nafullscreen,w85ev1c,https://m.place.naver.com/place/2054142509
퍼스트공인중개사사무소,오피스텔분양,대전광역시 서구 용문동 275-14,,http://talk.naver.com/w4tvaf?frm=mnmb&frm=nmb_detail#nafullscreen,w4tvaf,https://m.place.naver.com/place/1445136361
쏭네일,네일샵,서울특별시 도봉구 쌍문동 96-20 1층 쏭네일,,http://talk.naver.com/wcb8k7?frm=mnmb&frm=nmb_detail#nafullscreen,wcb8k7,https://m.place.naver.com/place/38474369
피오니 브로우,속눈썹,서울특별시 종로구 명륜2가 176 4층 401호,,http://talk.naver.com/w96aq7r?frm=mnmb&frm=nmb_detail#nafullscreen,w96aq7r,https://m.place.naver.com/place/2062558207
어반 부티크호텔,호텔,경기도 안양시 동안구 관양동 1504-6 어반부티크 관광호텔,050714830001 / 050714830001 / 031-421-0000,http://talk.naver.com/w0vhhjh?frm=mnmb&frm=nmb_detail#nafullscreen,w0vhhjh,https://m.place.naver.com/place/20794374
호텔아렌츠 평촌점,호텔,경기도 안양시 동안구 관양동 1603-3 5층,,http://talk.naver.com/w4lawf?frm=mnmb&frm=nmb_detail#nafullscreen,w4lawf,https://m.place.naver.com/place/1145981344
독학재수학원 수만휘스파르타 안산고잔,입시학원,경기도 안산시 단원구 고잔동 772 5층 506호,,http://talk.naver.com/wiy96ia?frm=mnmb&frm=nmb_detail#nafullscreen,wiy96ia,https://m.place.naver.com/place/2048585159
반드시봄 학원,입시학원,경기도 안산시 단원구 고잔동 774 503-505호 독한공부입시학원,031-403-9496,http://talk.naver.com/w42s6s?frm=mnmb&frm=nmb_detail#nafullscreen,w42s6s,https://m.place.naver.com/place/1041903422
아카데미라운지 여의도센터,독서실,서울특별시 영등포구 여의도동 30-2 2동 상가호 2층,,http://talk.naver.com/w4yci3?frm=mnmb&frm=nmb_detail#nafullscreen,w4yci3,https://m.place.naver.com/place/37213576
그린램프클래스 백마 관리형 학습센터,독서실,경기도 고양시 일산동구 마두동 753-1 주영빌딩 2층,050714945911,http://talk.naver.com/wmqnqbv?frm=mnmb&frm=nmb_detail#nafullscreen,wmqnqbv,https://m.place.naver.com/place/1200583809
대한공업사,자동차도장,충청남도 천안시 서북구 두정동 393-2 1층 대한공업사,,http://talk.naver.com/wwl57ft?frm=mnmb&frm=nmb_detail#nafullscreen,wwl57ft,https://m.place.naver.com/place/36090998
폴플라워,꽃집,제주특별자치도 제주시 이도이동 1985-9 1층,,http://talk.naver.com/wjai1ug?frm=mnmb&frm=nmb_detail#nafullscreen,wjai1ug,https://m.place.naver.com/place/1203391631
입주청소,청소업체,경기도 안산시 단원구 고잔동 535-2 7층,,http://talk.naver.com/w40ztd?frm=mnmb&frm=nmb_detail#nafullscreen,w40ztd,https://m.place.naver.com/place/1754824667
동해인력,인력사무소,대전광역시 동구 가양동 539-5,0426241604 / 0426240004 / 042-673-0477,http://talk.naver.com/w4py60?frm=mnmb&frm=nmb_detail#nafullscreen,w4py60,https://m.place.naver.com/place/1853115862
울산 이승진동물병원,동물병원,울산광역시 남구 달동 1400-5,0522582516,http://talk.naver.com/w4evtd?frm=mnmb&frm=nmb_detail#nafullscreen,w4evtd,https://m.place.naver.com/place/13013353
드래곤타이어 테크노관평점,타이어,대전광역시 유성구 덕진동 49-2,,http://talk.naver.com/w5yot0?frm=mnmb&frm=nmb_detail#nafullscreen,w5yot0,https://m.place.naver.com/place/1866216897
물노리베이비 일산벨라시타점,수영장,경기도 고양시 일산동구 백석동 1237 벨라시타 본동2층,,http://talk.naver.com/w46ay9?frm=mnmb&frm=nmb_detail#nafullscreen,w46ay9,https://m.place.naver.com/place/1667084568
법무법인오현 대구사무소 형사전문,법률사무소,대구광역시 수성구 범어동 177-4 7층 법무법인오현 대구사무소 형사전문,,http://talk.naver.com/wc4byu?frm=mnmb&frm=nmb_detail#nafullscreen,wc4byu,https://m.place.naver.com/place/1700859999
법무법인 대륜 대구분사무소 기업이혼형사성범죄 전문변호사,법률사무소,대구광역시 중구 덕산동 110 삼성생명 26층,,http://talk.naver.com/w4q07s?frm=mnmb&frm=nmb_detail#nafullscreen,w4q07s,https://m.place.naver.com/place/1156234914
법무법인 더블유 대구,법률사무소,대구광역시 수성구 범어동 43-2 3층,0537100882 / 0537100882 / 0537100882,http://talk.naver.com/wluf3o3?frm=mnmb&frm=nmb_detail#nafullscreen,wluf3o3,https://m.place.naver.com/place/1102934188
유니티의원 대구,피부과,대구광역시 수성구 범어동 41-3 7층,0537167171 / 0537167171 / 0537167171,http://talk.naver.com/w5iymt?frm=mnmb&frm=nmb_detail#nafullscreen,w5iymt,https://m.place.naver.com/place/1844064874
서울바른피부과의원 대구,피부과,대구광역시 수성구 범어동 177-7 6층,,http://talk.naver.com/w5t7yh?frm=mnmb&frm=nmb_detail#nafullscreen,w5t7yh,https://m.place.naver.com/place/38254013
하이린의원 대구,피부과,대구광역시 중구 동산동 360 3층,0534229200 / 0534229200,http://talk.naver.com/w4npla?frm=mnmb&frm=nmb_detail#nafullscreen,w4npla,https://m.place.naver.com/place/1316040960
유앤아이의원 대구점,피부과,대구광역시 중구 남일동 110-1 현대빌딩 3층,,http://talk.naver.com/w43h26k?frm=mnmb&frm=nmb_detail#nafullscreen,w43h26k,https://m.place.naver.com/place/1546398821
공간네일 신촌점,웨딩업체,서울특별시 서대문구 창천동 2-23 3층,,http://talk.naver.com/w48sgj?frm=mnmb&frm=nmb_detail#nafullscreen,w48sgj,https://m.place.naver.com/place/1412908076
리더스피부과의원 목동트라팰리스점,피부과,서울특별시 양천구 목동 962 트라팰리스 이스턴 에비뉴 7층 리더스피부과,02-3443-7541,http://talk.naver.com/wc4d4x?frm=mnmb&frm=nmb_detail#nafullscreen,wc4d4x,https://m.place.naver.com/place/30938484
목동미소가인피부과의원,피부과,서울특별시 양천구 목동 406-28 슬로우스퀘어 5층,02-2643-9900 / 02-2613-9600,http://talk.naver.com/wc4b9p?frm=mnmb&frm=nmb_detail#nafullscreen,wc4b9p,https://m.place.naver.com/place/13304725
